session_id,session_time
['X8QC3WZM'],['2021-01-02 19:33:28.947249']
['KL5VEMT8'],['2021-01-02 19:35:30.134797']
['SOXQR3WF'],['2021-01-02 19:38:32.802151']
['IQX8TX97'],['2021-01-02 19:43:06.830310']
['LRBK8ETU'],['2021-01-02 19:44:55.830203']
['VPA0LJB7'],['2021-01-02 19:55:45.994221']
['CRSAR3DX'],['2021-01-02 19:56:37.462198']
['NB20XHO1'],['2021-01-02 19:57:56.303723']
['LC8LO9YS'],['2021-01-02 19:59:29.230762']
['3R774H94'],['2021-01-02 19:59:39.828631']
['ULOKUA67'],['2021-01-02 20:18:57.922630']
['NM0GX3EL'],['2021-01-02 20:19:23.101230']
['LZ9U84YM'],['2021-01-02 20:19:36.830686']
['3F5P53GC'],['2021-01-02 20:29:31.479129']
['UT5OC201'],['2021-01-02 20:37:22.519667']
['UYZY913Q'],['2021-01-02 20:49:35.042712']
['1PLHNTPF'],['2021-01-02 20:51:29.149397']
['DDQMGIAM'],['2021-01-02 20:54:27.197860']
['RYC116GG'],['2021-01-02 21:00:53.208247']
['FKK8OFQ4'],['2021-01-02 21:02:13.906967']
['JYTE4ZNS'],['2021-01-02 21:05:19.198014']
['U3MQK39O'],['2021-01-02 21:08:45.972295']
['KPK951A4'],['2021-01-02 22:21:38.737360']
['ENOGW1EU'],['2021-01-02 22:22:23.870051']
['KGPT3MXR'],['2021-01-02 22:30:36.760232']
['P00QLTC1'],['2021-01-02 22:30:45.054400']
['XQ53IA4Z'],['2021-01-02 22:31:22.079242']
['LMJSE9R8'],['2021-01-02 22:46:42.026029']
['A2144TRE'],['2021-01-02 22:56:09.969023']
['7VJXI3C0'],['2021-01-02 22:57:19.821558']
['W208HV1Z'],['2021-01-02 23:11:09.728969']
['NGB5ZVSH'],['2021-01-02 23:16:56.957137']
['OV0YZPA8'],['2021-01-02 23:25:07.192331']
['OYL46490'],['2021-01-02 23:25:23.821734']
['SRD34X5B'],['2021-01-02 23:25:36.373230']
['0XLA0JUF'],['2021-01-02 23:25:47.228186']
['WDP9D9CW'],['2021-01-02 23:26:04.115231']
['YFSHPOS0'],['2021-01-02 23:29:27.937479']
['F2I1BV5V'],['2021-01-02 23:32:23.623805']
['8Z0DNGP8'],['2021-01-02 23:33:54.396648']
['KVKNZU9H'],['2021-01-02 23:36:58.753238']
['UH8E5E64'],['2021-01-02 23:37:56.046324']
